name,bonus_stat,penalized_stat
adamant,attack,special_attack
bashful,,
bold,defense,attack
brave,attack,speed
calm,special_defense,attack
careful,special_defense,special_attack
docile,,
gentle,special_defense,defense
hardy,,
hasty,speed,defense
impish,defense,special_attack
jolly,speed,special_attack
lax,defense,special_defense
lonely,attack,defense
mild,special_attack,defense
modest,special_attack,attack
naive,speed,special_defense
naughty,attack,special_defense
quiet,special_attack,speed
quirky,,
rash,special_attack,special_defense
relaxed,defense,speed
sassy,defense,speed
serious,,
timid,speed,attack