id,name,type,kind,power,accuracy,stamina,description
197,Detect,Fighting,Status,0,,5,Almost always goes first. The user is protected from all attacks for one turn but the move's success rate halves with each consecutive use of Protect Detect or Endure. If a Pokemon has No Guard or used Lock-On or Mind Reader against the user during the previous turn its attack has a [100 Varmove's normal accuracy]% chance to hit through Detect; OHKO moves do not benefit from this effect. Blizzard has a 30% to hit through this move during Hail as does Thunder during Rain Dance.
198,Bone Rush,Ground,Physical,25,80%,10,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
199,Lock-On,Normal,Status,0,100%,5,This move ensures that the user's next attack will hit against its current target. This effect can be Baton Passed to another Pokemon. Lock-On fails against Pokemon in the middle of using Protect Detect Dig Fly Bounce or Dive as well as Pokemon behind a Substitute. If the target uses Protect or Detect during its next turn the user's next move has a [100 Varmove's normal accuracy]% chance to hit through Protect or Detect. OHKO moves do not benefit from this trait.
200,Outrage,Dragon,Physical,120,100%,15,The user attacks uncontrollably for 2-3 turns and then gets confused.
201,Sandstorm,Rock,Status,0,,10,Cancels all other weather moves. For 5 turns: the Special Defense of Rock-type Pokemon is boosted by 50% each active Pokemon even when protected by a Substitute loses 1/16 of its max HP unless it has Sand Veil or is a Ground- Rock- or Steel-type the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is halved. The effects of Sandstorm will last for eight turns if its user is holding Smooth Rock.
202,Giga Drain,Grass,Special,75,100%,10,Restores the user's HP by 1/2 of the damage inflicted on the target.
203,Endure,Normal,Status,0,,10,Almost always goes first. The user is left with at least 1 HP following any attacks for one turn but the move's success rate halves with each consecutive use of Protect Detect or Endure.
204,Charm,Normal,Status,0,100%,20,Lowers the target's Attack by 2 stages.
205,Rollout,Rock,Physical,30,90%,20,The user attacks uncontrollably for five turns; this move's power doubles after each turn and also if Defense Curl was used beforehand. Its power resets after five turns have ended or if the attack misses.
206,False Swipe,Normal,Physical,40,100%,40,Leaves the target with at least 1 HP.
207,Swagger,Normal,Special,0,90%,15,Confuses the target and raises its Attack by 2 stages.
208,Milk Drink,Normal,Status,0,,10,Restores 1/2 of the user's max HP.
209,Spark,Electric,Physical,65,100%,20,Has a 30% chance to paralyze the target.
210,Fury Cutter,Bug,Physical,20,95%,20,The base power of this move doubles with each consecutive hit; however power is capped at a maximum 160 BP and remains there for any subsequent uses. If this move misses base power will be reset to 10 BP on the next turn. The user can also select other attacks without resetting this move's power; it will continue to double after each use until it either misses or reaches the 160 BP cap.
211,Steel Wing,Steel,Physical,70,90%,25,Has a 10% chance to raise the user's Defense by 1 stage.
212,Mean Look,Normal,Status,0,100%,5,As long as the user remains in battle the target cannot switch out unless it is holding Shed Shell or uses Baton Pass or U-Turn. The target will still be trapped if the user switches out by using Baton Pass.
213,Attract,Normal,Status,0,100%,15,Infatuates Pokemon of the opposite gender even if they have a Substitute causing a 50% chance for the target's attack to fail.
214,Sleep Talk,Normal,Status,0,,10,Does nothing if the user is awake. If the user asleep it randomly performs one of its attacks. Rest will fail if it is selected. Sleep Talk's generated attacks do not cost PP but it cannot generate moves with 0 PP itself Assist Bide Chatter Copycat Disabled attacks Focus Punch Me First Metronome Mirror Move Uproar or attacks with a charge-up turn like Fly or Skull Bash. (Moves with a recharge turn like Hyper Beam can be generated.)
215,Heal Bell,Normal,Status,0,,5,Every Pokemon in the user's party is cured of status conditions. Allied Pokemon who have Soundproof are not affected.
216,Return,Normal,Physical,50,100%,20,Power increases as user's happiness increases; maximum 102 BP.
217,Present,Normal,Physical,50,90%,15,Randomly either attacks with a variable power between 40 base power and 120 base power or heals the target by 80 HP.
218,Frustration,Normal,Physical,50,100%,20,Power increases as user's happiness decreases; maximum 102 BP.
219,Safeguard,Normal,Status,0,,25,Protects the user's entire team from status conditions for five turns.
220,Pain Split,Normal,Status,0,100%,20,Calculates the average of the user's current HP and the target's HP; the HP of both Pokemon is set to this average. Pokemon can be healed by Pain Split even under the effects of Heal Block.
221,Sacred Fire,Fire,Physical,100,95%,5,Has a 50% chance to burn the target; can be used while frozen which both attacks the target normally and thaws the user.
222,Magnitude,Ground,Physical,50,100%,30,Deals variable damage between 10 base power and 130 base power as well as double damage against Digging Pokemon.
223,DynamicPunch,Fighting,Physical,100,50%,5,Confuses the target.
224,Megahorn,Bug,Physical,120,85%,10,Deals damage with no additional effect.
225,DragonBreath,Dragon,Special,60,100%,20,Has a 30% chance to paralyze the target.
226,Baton Pass,Normal,Status,0,,40,The user returns to its party bypassing any trapping moves and Pursuit; it passes all stat modifiers (positive or negative including from Charge and Stockpile) as well as confusion Focus Energy/Lansat Berry boosts Ingrain Aqua Ring Embargo Gastro Acid Power Trick Magnet Rise Stockpiles Perish Song count Mist Leech Seed Ghost Curses Mind Reader Lock-On Block Mean Look Spider Web and Substitute to the replacement Pokemon.
227,Encore,Normal,Status,0,100%,5,The target is forced to use its last attack for the next 3 turns. The effects of this move will end immediately if the target runs out of PP for the repeated attack. In double battles a Pokemon who has received an Encore will target a random opponent with single-target attacks.
228,Pursuit,Dark,Physical,80,100%,20,If the target switches out on the current turn this move strikes with doubled power before the switch. Baton Passers still escape safely. When a faster Pokemon uses Pursuit against a U-Turner the U-Turner is hit for normal damage; when a slower Pokemon uses Pursuit against a U-Turner the U-Turner makes its attack then is hit by Pursuit for double power and switches out.
229,Rapid Spin,Normal,Physical,20,100%,40,Removes Spikes Stealth Rock Toxic Spikes and Leech Seed from the user's side of the field; also frees the user from Bind Clamp Fire Spin Magma Storm Sand Tomb Whirlpool and Wrap. These effects do not occur if the move misses or is used against Ghost-type Pokemon.
230,Sweet Scent,Normal,Status,0,100%,20,Lowers the target's Evasion by 1 stage.
231,Iron Tail,Steel,Physical,100,75%,15,Has a 30% chance to lower the target's Defense by 1 stage.
232,Metal Claw,Steel,Physical,50,95%,35,Has a 10% chance to raise the user's Attack by 1 stage.
233,Vital Throw,Fighting,Physical,70,100%,10,This move usually goes last. It ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
234,Morning Sun,Normal,Status,0,,5,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.
235,Synthesis,Grass,Status,0,,5,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.
236,Moonlight,Normal,Status,0,,5,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.
237,Hidden Power,Normal,Special,70,100%,15,Varies in power and type depending on the user's IVs; maximum 70 BP.
238,Cross Chop,Fighting,Physical,100,80%,5,Has a high critical hit ratio.
239,Twister,Dragon,Special,40,100%,20,Has a 20% chance to make the target flinch; power doubles while the target is in mid-air via Fly or Bounce.
240,Rain Dance,Water,Status,0,,5,Cancels all other weather moves. For 5 turns: the power of Water attacks is increased by 50% the power of Fire attacks is decreased by 50% Thunder never misses and has a 30% chance to hit through Protect and Detect the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is decreased from 1/2 to 1/4 of the user's max HP. The effects of Rain Dance will last for eight turns if its user is holding Damp Rock.
241,Sunny Day,Fire,Status,0,,5,Cancels all other weather moves. For 5 turns: freezing is prevented the power of Fire attacks is increased by 50% the power of Water attacks is decreased by 50% Solarbeam fires immediately Thunder becomes 50% accurate and the healing power of Morning Sun Synthesis and Moonlight is increased from 1/2 to 2/3 of the user's max HP. The effects of Sunny Day will last for eight turns if its user is holding Heat Rock.
242,Crunch,Dark,Physical,80,100%,15,Has a 20% chance to lower the target's Defense by 1 stage.
243,Mirror Coat,Psychic,Special,50,100%,20,Almost always goes last; if an opponent strikes with a Special attack before the user's turn the user retaliates for twice the damage it had endured. In double battles this attack targets the last opponent to hit the user with a Special attack and cannot hit the user's teammate.
244,Psych Up,Normal,Status,0,,10,The user copies all six of the target's current stat modifiers.
245,ExtremeSpeed,Normal,Physical,80,100%,5,Usually goes first.
246,AncientPower,Rock,Special,60,100%,5,Has a 10% chance to raise all of the user's stats by 1 stage.
247,Shadow Ball,Ghost,Special,80,100%,15,Has a 20% chance to lower the target's Special Defense by 1 stage.
248,Future Sight,Psychic,Special,100,100%,10,This move even if the user and/or the target switch out will strike the active target at the end of the second turn after its use. Only one instance of Future Sight or Doom Desire may be active at a time.
249,Rock Smash,Fighting,Physical,40,100%,15,Has a 50% chance to lower the target's Defense by 1 stage.
250,Whirlpool,Water,Special,35,85%,15,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn. Base power also doubles when performed against a Pokemon in the middle of using Dive.
251,Beat Up,Dark,Physical,50,100%,10,Each healthy (i.e. not fainted nor inflicted with a status condition) Pokemon in your party contributes a typeless 10 base power hit determined solely by their base Attack and Defense stats.
252,Fake Out,Normal,Physical,40,100%,10,If this is the user's first move after being sent or switched into battle the target flinches; this move fails otherwise and against targets with Inner Focus.
253,Uproar,Normal,Special,90,100%,10,The user causes an Uproar and attacks uncontrollably for 3 turns. During the effects of the Uproar active Pokemon cannot fall asleep and sleeping Pokemon sent into battle will wake up.
254,Stockpile,Normal,Status,0,,20,Can be used up to three times to power Spit Up or Swallow. Also raises the user's Defense and Special Defense by 1 stage each. Stockpiles and the defensive boosts are lost when these Swallow or Spit Up is used or the user switches out. However the boosts can be Baton Passed.
255,Spit Up,Normal,Special,50,100%,10,Power increases with user's Stockpile count; fails with zero Stockpiles.
256,Swallow,Normal,Status,0,,10,This move only works if the user has at least one Stockpile. Restores 1/4 of user's max HP with one Stockpile 1/2 of user's max HP with two Stockpiles and fully restores the user's HP with three Stockpiles.
257,Heat Wave,Fire,Special,100,90%,10,Has a 10% chance to burn the target.
258,Hail,Ice,Status,0,,10,Cancels all other weather moves. For 5 turns: Blizzard never misses and has a 30% chance to hit through Protect and Detect each active Pokemon even when protected by a Substitute loses 1/16 of its max HP unless it is an Ice-type the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is halved. The effects of Hail will last for eight turns if its user is holding Icy Rock.
259,Torment,Dark,Status,0,100%,15,Prevents the target from using the same move for two turns in a row until the target is switched out. The target will use Struggle every other turn if it cannot attack without using the same move.
260,Flatter,Dark,Status,0,100%,15,Confuses the target and raises its Special Attack by 1 stage.
261,Will-O-Wisp,Fire,Status,0,75%,15,Burns the target. This move activates Flash Fire.
262,Memento,Dark,Status,0,100%,10,The user sacrifices itself to lower the target's Attack and Special Attack by 2 stages each.
263,Facade,Normal,Physical,50,100%,20,Power doubles if the user is inflicted with burn paralysis or poison.
264,Focus Punch,Fighting,Physical,150,100%,20,At the beginning of the round the user tightens its focus; the attack itself usually goes last and will fail if the user is attacked by any other Pokemon during the turn.
265,SmellingSalt,Normal,Physical,60,100%,10,If the target is paralyzed power is doubled but the target will be cured.
266,Follow Me,Normal,Status,0,100%,20,Almost always goes first. For the rest of the turn all attacks from the opponent's team that target the user's team are redirected toward the user. In double battles the user's teammate will not be protected from attacks that have more than one intended target.
267,Nature Power,Normal,Status,50,95%,20,The user generates another move depending on the battle's current terrain. It generates Seed Bomb in any type of grass (as well as in puddles) Hydro Pump while surfing on top of water Rock Slide on any rocky outdoor terrain and inside of caves Earthquake on beach sand desert sand and dirt paths (as well as Wifi) Blizzard in snow and Tri Attack everywhere else. In Battle Revolution the move generates Tri Attack at Courtyard Main Street and Neon Seed Bomb at Sunny Park and Waterfall Hydro Pump at Gateway Rock Slide at Crystal Magma and Stargazer and Earthquake at Sunset.
267,Nature Power (Wifi),Ground,Physical,100,95%,20,Earthquake.
268,Charge,Electric,Status,0,100%,20,Doubles the power of the user's Electric attacks on the next turn and increases the user's Special Defense by 1 stage.
269,Taunt,Dark,Status,0,100%,20,Prevents the target from using non-damaging moves for 3 turns. Assist Copycat Me First Metronome Mirror Move and Sleep Talk are prevented during this time but Bide Counter Endeavor Metal Burst and Mirror Coat are not prevented.
270,Helping Hand,Normal,Status,0,100%,20,Always goes first. In double battles the power of the user's partner's attacks is increased by 1.5x for that turn; does nothing in single battles.
271,Trick,Psychic,Status,0,100%,10,Exchanges items with the target unless it has Sticky Hold or Multitype. Items lost to this move cannot be recovered by using Recycle.
272,Role Play,Psychic,Status,0,100%,10,The user's own ability is overwritten with the target's ability; does nothing if the target's ability is Wonder Guard.
273,Wish,Normal,Status,0,100%,10,At the end of the next turn the active Pokemon from the user's team is healed by 1/2 of the user's HP; this can be any member of the user's team.
274,Assist,Normal,Status,0,100%,20,The user performs a random move from any of the Pokemon on its team. Assist cannot generate itself Chatter Copycat Counter Covet Destiny Bond Detect Endure Feint Focus Punch Follow Me Helping Hand Me First Metronome Mimic Mirror Coat Mirror Move Protect Sketch Sleep Talk Snatch Struggle Switcheroo Thief or Trick.
275,Ingrain,Grass,Status,0,100%,20,The user recovers 1/16 of its max HP after each turn but it cannot be switched out or forced to switch out. If a Flying-type Pokemon or a Pokemon with Levitate comes under the effect of Ingrain it will no longer have immunity from Ground-type attacks.
276,Superpower,Fighting,Physical,120,100%,5,Lowers the user's Attack and Defense by 1 stage each after use.
277,Magic Coat,Psychic,Status,0,100%,15,Almost always goes first. Until the end of the turn the user will reflect one disabling move back at its user (including teammates); these include status effect inducers confusion inducers (including Flatter and Swagger) Attract trapping moves that do not damage Leech Seed Worry Seed Gastro Acid and negative stat modifiers (except Defog). In double battles Magic Coat will only reflect the first applicable move performed against its user before wearing off.
278,Recycle,Normal,Status,0,100%,10,The user's lost item is recovered. Items lost to Bug Bite Fling Natural Gift and Pluck will be recovered if the user of Recycle was the item's original holder; items lost to Trick Switcheroo Thief Covet or Knock Off cannot be recovered.
279,Revenge,Fighting,Physical,60,100%,10,Almost always goes last even after another Pokemon's Focus Punch; this move's base power doubles if the user is damaged before its turn.
280,Brick Break,Fighting,Physical,75,100%,15,Reflect and Light Screen are removed from the target's field even if the attack misses or the target is a Ghost-type.
281,Yawn,Normal,Status,0,100%,10,If the target stays in battle it falls asleep at the end of the next turn.
282,Knock Off,Dark,Physical,20,100%,20,Disables the target's held item unless it has Sticky Hold or Multitype. Items lost to this move cannot be recovered by using Recycle.
283,Endeavor,Normal,Physical,50,100%,5,Inflicts damage equal to the target's current HP Varthe user's current HP.
284,Eruption,Fire,Special,50,100%,5,Base power decreases as the user's HP decreases.
285,Skill Swap,Psychic,Status,0,100%,10,The user exchanges abilities with the target; does not work if Wonder Guard is the ability of either the user or the target.
286,Imprison,Psychic,Status,0,100%,10,Until the user faints or switches out the opponent cannot select any moves that it has in common with the user. In double battles this move affects both opponents.
287,Refresh,Normal,Status,0,100%,20,The user recovers from burn poison and paralysis.
288,Grudge,Ghost,Status,0,100%,5,The target's next move is set to 0 PP if it directly KOs the user.
289,Snatch,Dark,Status,0,100%,10,Almost always goes first. Until the end of the turn the user will steal a supporting move from another Pokemon (including teammates). In double battles Snatch only steals the first applicable move performed by another Pokemon before wearing off.
290,Secret Power,Normal,Physical,70,100%,20,This move has a 30% chance to inflict a side effect depending on the battle's current terrain. The target may be put to sleep in any type of grass (or in puddles) its Attack may be lowered by 1 stage while surfing on any body of water its Speed may be lowered by 1 stage while on marshy terrain its Accuracy may be lowered by 1 stage on beach sand desert sand and dirt paths (and also in Wifi battles) it may flinch in caves or on rocky outdoor terrain it may become frozen on snowy terrain and it may become paralyzed everywhere else.
291,Dive,Water,Physical,80,100%,10,On the first turn the user dives underwater becoming uncontrollable and evades all attacks except for Surf and Whirlpool which have doubled power; the user may also be hit underwater if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.
292,Arm Thrust,Fighting,Physical,15,100%,20,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
293,Camouflage,Normal,Status,0,100%,20,"The user's type changes according to the current terrain. It becomes Grass-type in tall grass and very tall grass (as well as in puddles) Water-type while surfing on any body of water Rock-type while inside any caves or on any rocky terrain Ground-type on beach sand desert sand and dirt roads Ice-type in snow and Normal-type everywhere else. The user will always become Normal-type during Wi-Fi battles. "
294,Tail Glow,Bug,Status,0,100%,20,Raises the user's Special Attack by 2 stages.
295,Luster Purge,Psychic,Special,70,100%,5,Has a 50% chance to lower the target's Special Defense by 1 stage.
296,Mist Ball,Psychic,Special,70,100%,5,Has a 50% chance to lower the target's Special Attack by 1 stage.
297,FeatherDance,Flying,Status,0,100%,15,Lowers the target's Attack by 2 stages.
298,Teeter Dance,Normal,Status,0,100%,20,Each active Pokemon except the user becomes confused.
299,Blaze Kick,Fire,Physical,85,90%,10,Has a high critical hit ratio and a 10% chance to burn the target.
300,Mud Sport,Ground,Status,0,100%,15,All Electric-type moves are 50% weaker until the user switches out.
301,Ice Ball,Ice,Physical,30,90%,20,The user attacks uncontrollably for five turns; this move's power doubles after each turn and also if Defense Curl was used beforehand. Its power resets after five turns have ended or if the attack misses.
302,Needle Arm,Grass,Physical,60,100%,15,Has a 30% chance to make the target flinch.
303,Slack Off,Normal,Status,0,100%,10,Restores 1/2 of the user's max HP.
304,Hyper Voice,Normal,Special,90,100%,10,Deals damage with no additional effect.
305,Poison Fang,Poison,Physical,50,100%,15,Has a 30% chance to inflict Toxic poison on the target.
306,Crush Claw,Normal,Physical,75,95%,10,Has a 50% chance to lower the target's Defense by 1 stage.
307,Blast Burn,Fire,Special,150,90%,5,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.
308,Hydro Cannon,Water,Special,150,90%,5,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.
309,Meteor Mash,Steel,Physical,100,85%,10,Has a 20% chance to raise the user's Attack by 1 stage.
310,Astonish,Ghost,Physical,30,100%,15,Has a 30% chance to make the target flinch.
311,Weather Ball,Normal,Special,50,100%,10,Base power is 50; Base power doubles and move's type changes during weather effects: becomes Fire-type during Sunny Day Water-type during Rain Dance Ice-type during Hail and Rock-type during Sandstorm.
312,Aromatherapy,Grass,Status,0,,5,"Every Pokemon in the user's party is cured of status conditions. Lists every Pokemon that was healed and what status condition was cured. "
313,Fake Tears,Dark,Status,0,100%,20,Lowers the target's Special Defense by 2 stages.
314,Air Cutter,Flying,Special,55,95%,25,Has a high critical hit ratio.
315,Overheat,Fire,Special,140,90%,5,Lowers the user's Special Attack by 2 stages after use.
316,Odor Sleuth,Normal,Status,0,100%,40,Until the target faints or switches the user's Accuracy modifiers and the target's Evasion modifiers are ignored. Ghost-type targets also lose their immunities against Normal-type and Fighting-type moves.
317,Rock Tomb,Rock,Physical,50,80%,10,Lowers the target's Speed by 1 stage.
318,Silver Wind,Bug,Special,60,100%,5,Has a 10% chance to raise all of the user's stats by 1 stage.
319,Metal Sound,Steel,Status,0,85%,40,Lowers the target's Special Defense by 2 stages.
320,GrassWhistle,Grass,Status,0,55%,15,Puts the target to sleep.
321,Tickle,Normal,Status,0,100%,20,Lowers the target's Attack and Defense by 1 stage each.
322,Cosmic Power,Psychic,Status,0,,20,Raises the user's Defense and Special Defense by 1 stage each.
323,Water Spout,Water,Special,50,100%,5,Base power decreases as the user's HP decreases.
324,Signal Beam,Bug,Special,75,100%,15,Has a 10% chance to confuse the target.
325,Shadow Punch,Ghost,Physical,60,101%,20,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
326,Extrasensory,Psychic,Special,80,100%,30,Has a 10% chance to make the target flinch.
327,Sky Uppercut,Fighting,Physical,85,90%,15,Also hits targets in mid-air via Fly or Bounce.
328,Sand Tomb,Ground,Physical,35,85%,15,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.
329,Sheer Cold,Ice,Special,0,30%,5,The target faints; doesn't work on higher-leveled Pokemon.
330,Muddy Water,Water,Special,95,85%,10,Lowers the target's Accuracy by 1 stage.
331,Bullet Seed,Grass,Physical,25,100%,30,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
332,Aerial Ace,Flying,Physical,60,101%,20,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
333,Icicle Spear,Ice,Physical,25,100%,30,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
334,Iron Defense,Steel,Status,0,,15,Raises the user's Defense by 2 stages.
335,Block,Normal,Status,0,100%,5,As long as the user remains in battle the target cannot switch out unless it is holding Shed Shell or uses Baton Pass or U-Turn. The target will still be trapped if the user switches out by using Baton Pass.
336,Howl,Normal,Status,0,,40,Raises the user's Attack by 1 stage.
337,Dragon Claw,Dragon,Physical,80,100%,15,Deals damage with no additional effect.
338,Frenzy Plant,Grass,Special,150,90%,5,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.
339,Bulk Up,Fighting,Status,0,,20,Raises the user's Attack and Defense by 1 stage each.
340,Bounce,Flying,Physical,85,85%,5,On the first turn the user bounces into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user descends and has a 30% chance to paralyze the target.
341,Mud Shot,Ground,Special,55,95%,15,Lowers the target's Speed by 1 stage.
342,Poison Tail,Poison,Physical,50,100%,25,Has a high critical hit ratio and a 10% chance to poison the target.
343,Covet,Normal,Physical,60,100%,40,Steals the target's held item unless the user is already holding an item or the target has Sticky Hold or Multitype. Recycle cannot recover the stolen item.
344,Volt Tackle,Electric,Physical,120,100%,15,The user receives 1/3 recoil damage; has a 10% chance to paralyze the target.
345,Magical Leaf,Grass,Special,60,101%,20,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
346,Water Sport,Water,Status,0,100%,15,All Fire-type moves are 50% weaker until the user switches out.
347,Calm Mind,Psychic,Status,0,,20,Raises the user's Special Attack and Special Defense by 1 stage each.
348,Leaf Blade,Grass,Physical,90,100%,15,Has a high critical hit ratio.
349,Dragon Dance,Dragon,Status,0,,20,Raises the user's Attack and Speed by 1 stage each.
350,Rock Blast,Rock,Physical,25,90%,10,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
351,Shock Wave,Electric,Special,60,101%,20,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
352,Water Pulse,Water,Special,60,100%,20,Has a 20% chance to confuse the target.
353,Doom Desire,Steel,Special,140,100%,5,This move even if the user and/or the target switch out will strike the active target at the end of the second turn after its use.  Only one instance of Doom Desire or Future Sight may be active at a time.
354,Psycho Boost,Psychic,Special,140,90%,5,Lowers the user's Special Attack by 2 stages after use.